DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN,NEXT_OPEN_PRICE
20170620,7,7.05,6.95,6.95,16114000,UP,7
20170621,7,7.05,6.95,6.95,24578100,UP,7.05
20170622,7.05,7.25,7,7.15,153846600,DRAW,7.15
20170623,7.15,7.2,7.1,7.2,40448500,DRAW,7.2
20170626,7.2,7.25,7.15,7.2,24580400,DRAW,7.2
20170627,7.2,7.3,7.15,7.15,48026400,DRAW,7.15
20170628,7.15,7.25,7.1,7.2,33760300,DRAW,7.2
20170629,7.2,7.3,7.2,7.25,49662100,DRAW,7.25
20170630,7.25,7.3,7.15,7.15,33103000,DRAW,7.15
20170703,7.15,7.2,7.1,7.2,14072700,DRAW,7.2
20170704,7.2,7.2,7.15,7.15,12737500,UP,7.2
20170705,7.2,7.2,7.05,7.1,47582100,DRAW,7.1
20170706,7.1,7.15,7.05,7.1,25046000,DRAW,7.1
20170707,7.1,7.2,7.1,7.1,22591100,DRAW,7.1
20170711,7.1,7.15,7,7.05,49368600,UP,7.1
20170712,7.1,7.2,7.05,7.15,35173100,DRAW,7.15
20170713,7.15,7.15,7.05,7.15,21162100,DRAW,7.15
20170714,7.15,7.15,7,7.05,27546500,DRAW,7.05
20170717,7.05,7.1,7,7.05,11087100,DRAW,7.05
20170718,7.05,7.1,6.95,7,28658500,DRAW,7
20170719,7,7.1,6.95,7,16113200,DRAW,7
20170720,7,7.4,7,7.4,173754000,UP,7.45
20170721,7.45,7.45,7.25,7.35,63278300,DRAW,7.35
20170724,7.35,7.6,7.3,7.5,94593300,DRAW,7.5
20170725,7.5,7.6,7.4,7.6,54045500,DRAW,7.6
20170726,7.6,7.7,7.3,7.35,91135700,UP,7.4
20170727,7.4,7.55,7.25,7.45,72594700,DRAW,7.45
20170731,7.45,7.5,7.35,7.4,27938700,DRAW,7.4
20170801,7.4,7.5,7.35,7.45,33468200,UP,7.5
20170802,7.5,7.5,7.35,7.4,18053700,DRAW,7.4
20170803,7.4,7.5,7.4,7.45,15877900,DRAW,7.45
20170804,7.45,7.55,7.45,7.55,21493300,DRAW,7.55
20170807,7.55,7.55,7.45,7.5,14796300,DRAW,7.5
20170808,7.5,7.6,7.45,7.55,32289800,DRAW,7.55
20170809,7.55,7.6,7.4,7.4,23345400,DOWN,7.35
20170810,7.35,7.4,7.3,7.3,32029800,DRAW,7.3
20170811,7.3,7.35,7.1,7.15,80200300,UP,7.25
20170815,7.25,7.3,7.2,7.25,36261000,UP,7.3
20170816,7.3,7.35,7.2,7.3,20068200,DRAW,7.3
20170817,7.3,7.35,7.2,7.25,8067000,UP,7.3
20170818,7.3,7.4,7.25,7.35,21617400,UP,7.4
20170821,7.4,7.4,7.35,7.4,8699100,DRAW,7.4
20170822,7.4,7.4,7.3,7.35,11697500,DRAW,7.35
20170823,7.35,7.5,7.35,7.4,24373200,DRAW,7.4
20170824,7.4,7.45,7.3,7.35,16259200,DRAW,7.35
20170825,7.35,7.4,7.3,7.4,6196600,DRAW,7.4
20170828,7.4,7.45,7.35,7.4,13361500,UP,7.45
20170829,7.45,7.55,7.4,7.5,55100000,UP,7.55
20170830,7.55,7.55,7.45,7.45,15330900,DRAW,7.45
20170831,7.45,7.5,7.35,7.35,28049700,UP,7.4
20170901,7.4,7.45,7.35,7.35,21254100,UP,7.4
20170904,7.4,7.4,7.3,7.35,57870400,UP,7.4
20170905,7.4,7.45,7.4,7.45,61768200,DOWN,7.4
20170906,7.4,7.6,7.4,7.5,60335000,UP,7.55
20170907,7.55,7.65,7.45,7.6,115204300,UP,7.65
20170908,7.65,7.75,7.45,7.5,154316400,DRAW,7.5
20170911,7.5,7.55,7.45,7.5,24222800,DOWN,7.45
20170912,7.45,7.5,7.4,7.4,10279600,DRAW,7.4
20170913,7.4,7.45,7.35,7.4,17131700,DRAW,7.4
20170914,7.4,7.45,7.35,7.4,8654000,DRAW,7.4
20170915,7.4,7.45,7.35,7.4,24855600,DRAW,7.4
20170918,7.4,7.4,7.35,7.35,12107500,UP,7.4
20170919,7.4,7.45,7.3,7.3,45654700,DRAW,7.3
20170920,7.3,7.4,7.3,7.35,24504900,DRAW,7.35
20170921,7.35,7.5,7.35,7.4,37761800,DRAW,7.4
20170922,7.4,7.45,7.3,7.35,20936300,UP,7.4
20170925,7.4,7.45,7.3,7.4,24554600,DRAW,7.4
20170926,7.4,7.5,7.35,7.4,26589400,UP,7.45
20170927,7.45,7.7,7.4,7.55,133568500,DRAW,7.55
20170928,7.55,7.6,7.5,7.6,32393000,DRAW,7.6
20170929,7.6,7.6,7.5,7.6,23847100,DRAW,7.6
20171002,7.6,7.7,7.5,7.65,29446700,DRAW,7.65
20171003,7.65,7.95,7.55,7.9,101868000,UP,7.95
20171004,7.95,8,7.8,7.95,57101900,UP,8
20171005,8,8.05,7.95,8,34076800,DRAW,8
20171006,8,8.05,7.7,7.8,101059000,UP,7.85
20171009,7.85,7.9,7.75,7.75,34499800,UP,7.8
20171010,7.8,7.8,7.65,7.65,43742500,UP,7.7
20171011,7.7,7.9,7.7,7.75,42486600,DRAW,7.75
20171012,7.75,7.8,7.65,7.7,30805800,DRAW,7.7
20171016,7.7,7.9,7.7,7.9,34156700,DRAW,7.9
20171017,7.9,7.9,7.8,7.8,15515300,UP,7.85
20171018,7.85,7.9,7.75,7.8,14622500,DRAW,7.8
20171019,7.8,7.9,7.7,7.7,35733900,DRAW,7.7
20171020,7.7,7.8,7.7,7.8,19808700,DRAW,7.8
20171024,7.8,7.9,7.8,7.9,17302800,DRAW,7.9
20171025,7.9,7.95,7.75,7.85,18467300,DRAW,7.85
20171027,7.85,8,7.85,7.95,33990200,UP,8
20171030,8,8.05,7.9,7.9,49371900,DRAW,7.9
20171031,7.9,8,7.85,8,19478600,UP,8.05
20171101,8.05,8.05,7.85,7.9,37746800,UP,8
20171102,8,8.3,8,8.25,168986200,DRAW,8.25
20171103,8.25,8.45,8.2,8.3,83624400,DRAW,8.3
20171106,8.3,8.45,8.3,8.35,48838000,DRAW,8.35
20171107,8.35,8.45,8.3,8.35,28714200,DRAW,8.35
20171108,8.35,8.35,8.1,8.2,50190200,UP,8.25
20171109,8.25,8.45,8.2,8.3,61528300,DOWN,8.25
20171110,8.25,8.3,8.1,8.15,40880400,DRAW,8.15
20171113,8.15,8.3,8.15,8.25,22215000,DRAW,8.25
20171114,8.25,8.35,8.15,8.2,28613800,UP,8.25
20171115,8.25,8.25,8.1,8.1,16225200,UP,8.15
20171116,8.15,8.3,8.1,8.2,30627700,DRAW,8.2
20171117,8.2,8.25,8.15,8.2,9692200,DRAW,8.2
20171120,8.2,8.3,8.05,8.1,30795500,DRAW,8.1
20171121,8.1,8.15,8.05,8.05,19867700,DRAW,8.05
20171122,8.05,8.15,8.05,8.05,9014500,UP,8.1
20171123,8.1,8.15,8,8.05,23719000,DRAW,8.05
20171124,8.05,8.05,7.85,7.9,46981300,DRAW,7.9
20171127,7.9,8,7.85,7.95,13564100,DRAW,7.95
20171128,7.95,8.1,7.85,7.95,33101200,UP,8
20171129,8,8.05,7.65,7.7,86702900,DRAW,7.7
20171130,7.7,7.85,7.65,7.85,62117100,DRAW,7.85
20171201,7.85,7.9,7.75,7.75,21315200,UP,7.8
20171204,7.8,7.9,7.7,7.75,27215600,DRAW,7.75
20171206,7.75,7.9,7.75,7.9,17638000,DRAW,7.9
20171207,7.9,7.95,7.85,7.9,15100200,DRAW,7.9
20171208,7.9,8,7.9,7.95,20786700,DOWN,7.85
20171212,7.85,7.9,7.85,7.85,14695300,DRAW,7.85
20171213,7.85,7.9,7.8,7.85,8917300,UP,7.9
20171214,7.9,8.05,7.85,8,24045800,DRAW,8
20171215,8,8.1,7.9,7.95,57507400,DRAW,7.95
20171218,7.95,7.95,7.8,7.8,28106300,DRAW,7.8
20171219,7.8,8.05,7.8,7.95,31789900,DRAW,7.95
20171220,7.95,8,7.85,7.9,13833900,DRAW,7.9
20171221,7.9,7.95,7.9,7.9,4190200,DRAW,7.9
20171222,7.9,8,7.9,7.9,7819100,UP,7.95
20171225,7.95,8.1,7.9,8.05,28734000,DRAW,8.05
20171226,8.05,8.1,8,8.1,26189900,DRAW,8.1
20171227,8.1,8.15,8.05,8.15,24825800,DRAW,8.15
20171228,8.15,8.2,8,8.05,18448400,UP,8.1
20171229,8.1,8.2,8.05,8.15,41967300,DRAW,8.15
20180103,8.15,8.25,8.1,8.2,28906500,DRAW,8.2
20180104,8.2,8.25,8.1,8.15,25739700,DRAW,8.15
20180105,8.15,8.2,8,8,30720300,UP,8.05
20180108,8.05,8.2,8,8.05,24615900,DRAW,8.05
20180109,8.05,8.15,8,8.05,19833000,DRAW,8.05
20180110,8.05,8.2,8.05,8.05,19459200,DRAW,8.05
20180111,8.05,8.1,7.95,8,37895800,UP,8.05
20180112,8.05,8.1,8,8,16203000,UP,8.1
20180115,8.1,8.15,8,8,27740300,UP,8.05
20180116,8.05,8.1,7.95,8.05,16135300,DRAW,8.05
20180117,8.05,8.05,7.9,7.95,28968700,DRAW,7.95
20180118,7.95,8,7.9,7.9,15230300,UP,7.95
20180119,7.95,7.95,7.85,7.9,12679600,DRAW,7.9
20180122,7.9,7.95,7.85,7.9,7635000,UP,7.95
20180123,7.95,8.05,7.85,7.9,26084200,DRAW,7.9
20180124,7.9,8,7.85,7.9,12877400,UP,7.95
20180125,7.95,7.95,7.85,7.85,9478000,UP,7.9
20180126,7.9,7.95,7.85,7.85,21938900,UP,7.9
20180129,7.9,8.1,7.85,8.05,49983300,DRAW,8.05
20180130,8.05,8.2,8.05,8.1,36999500,DRAW,8.1
20180131,8.1,8.15,8.05,8.05,20329100,DRAW,8.05
20180201,8.05,8.1,8,8,10441500,UP,8.05
20180202,8.05,8.05,7.95,8,11434900,DOWN,7.9
20180205,7.9,7.95,7.85,7.95,17299800,DOWN,7.8
20180206,7.8,7.85,7.7,7.85,51713800,UP,7.9
20180207,7.9,7.9,7.8,7.8,10700200,UP,7.85
20180208,7.85,7.85,7.8,7.85,5847300,DOWN,7.75
20180209,7.75,7.8,7.75,7.75,12748800,UP,7.8
20180212,7.8,7.85,7.75,7.8,8840000,UP,7.85
20180213,7.85,7.85,7.7,7.7,15256400,UP,7.75
20180214,7.75,7.75,7.65,7.7,10848100,UP,7.75
20180215,7.75,7.8,7.7,7.75,4839000,UP,7.85
20180216,7.85,8,7.8,7.95,44015100,UP,8
20180219,8,8,7.85,7.9,29630300,DRAW,7.9
20180220,7.9,8,7.85,7.85,21604800,DRAW,7.85
20180221,7.85,7.95,7.8,7.8,22834700,DOWN,7.75
20180222,7.75,7.8,7.6,7.65,39809900,DRAW,7.65
20180223,7.65,7.75,7.65,7.75,10897300,UP,7.8
20180226,7.8,7.8,7.65,7.75,13351100,DOWN,7.7
20180227,7.7,7.75,7.3,7.35,68276100,DRAW,7.35
20180228,7.35,7.4,7.25,7.25,56737200,DOWN,7.2
20180302,7.2,7.25,6.8,6.9,60100600,DRAW,6.9
20180305,6.9,7.15,6.85,6.95,58498300,UP,7
20180306,7,7,6.9,6.95,21329200,DRAW,6.95
20180307,6.95,6.95,6.85,6.9,21909100,DRAW,6.9
20180308,6.9,7,6.85,6.85,18942300,UP,6.9
20180309,6.9,6.95,6.8,6.85,12362100,DRAW,6.85
20180312,6.85,6.9,6.75,6.9,10578700,DRAW,6.9
20180313,6.9,6.9,6.7,6.75,16505800,DRAW,6.75
20180314,6.75,7,6.75,6.95,16812200,UP,7
20180315,7,7.1,6.95,7,19262500,DRAW,7
20180316,7,7.05,7,7,6998700,DRAW,7
20180319,7,7.05,6.95,6.95,8013800,DRAW,6.95
20180320,6.95,7,6.85,6.9,11417400,UP,6.95
20180321,6.95,7,6.9,6.9,3522000,UP,6.95
20180322,6.95,6.95,6.85,6.9,6285500,DOWN,6.85
20180323,6.85,6.85,6.8,6.8,6576300,UP,6.85
20180326,6.85,7,6.85,6.9,6512500,UP,7
20180327,7,7,6.9,6.95,14466400,DRAW,6.95
20180328,6.95,7,6.85,6.85,10041300,UP,6.95
20180329,6.95,7,6.85,6.9,26258900,UP,7
20180330,7,7.05,6.75,6.8,24816900,UP,6.9
20180402,6.9,7,6.8,6.8,22799200,UP,6.85
20180403,6.85,6.85,6.75,6.75,16434000,DRAW,6.75
20180404,6.75,6.8,6.3,6.4,29024600,UP,6.45
20180405,6.45,6.5,6.3,6.4,10287300,DRAW,6.4
20180409,6.4,6.45,6.2,6.35,11508900,DRAW,6.35
20180410,6.35,6.4,6.25,6.4,18858700,DRAW,6.4
20180411,6.4,6.5,6.35,6.35,14245700,DRAW,6.35
20180412,6.35,6.4,6.3,6.3,9567000,DRAW,6.3
20180417,6.3,6.35,6.05,6.1,17681600,DRAW,6.1
20180418,6.1,6.25,6.1,6.25,9237200,UP,6.3
20180419,6.3,6.3,6.05,6.1,18607100,UP,6.15
20180420,6.15,6.35,6.1,6.35,24635500,UP,6.4
20180423,6.4,6.6,6.35,6.5,25746300,UP,6.55
20180424,6.55,6.55,6.4,6.45,11754800,DOWN,6.4
20180425,6.4,6.5,6.4,6.45,8577800,UP,6.55
20180426,6.55,6.55,6.4,6.45,9403300,UP,6.5
20180427,6.5,6.5,6.35,6.5,9756800,UP,6.55
20180430,6.55,6.75,6.55,6.7,18281900,DRAW,6.7
20180502,6.7,6.75,6.6,6.7,7627500,DRAW,6.7
20180503,6.7,6.75,6.65,6.65,7097200,UP,6.7
20180504,6.7,6.85,6.6,6.65,24708100,UP,6.7
20180507,6.7,6.85,6.6,6.8,26364600,DRAW,6.8
20180508,6.8,6.8,6.7,6.75,11133300,DRAW,6.75
20180509,6.75,6.8,6.55,6.6,15197300,UP,6.65
20180510,6.65,6.7,6.55,6.55,7278400,UP,6.6
20180511,6.6,6.75,6.6,6.75,16223700,DRAW,6.75
20180514,6.75,6.8,6.7,6.75,8131600,UP,6.8
20180515,6.8,6.9,6.75,6.8,12988200,
